ID,IATA,ICAO,name
389,,EDQT,Haßfurt-Schweinfurt Airport
390,,EDRK,Koblenz-Winningen Airfield
391,,EDRT,Trier-Föhren Airport
392,,EDRY,Speyer Airfield
393,ZQW,EDRZ,Zweibrücken Airport
394,ZQL,EDTD,Donaueschingen-Villingen Airport
395,,EDTF,Freiburg i. Br. Airport
396,,EDTM,Mengen-Hohentengen Airport
397,,EDTY,Adolf Würth Airport
398,,EDUS,Finsterwalde/Schacksdorf Airport
399,BWE,EDVE,Braunschweig-Wolfsburg Airport
400,KSF,EDVK,Kassel-Calden Airport
401,,EDVM,Hildesheim Airport
402,BRV,EDWB,Bremerhaven Airport
403,EME,EDWE,Emden Airport
404,,EDWF,Leer-Papenburg Airport
405,WVN,EDWI,Wilhelmshaven-Mariensiel Airport
406,BMK,EDWR,Borkum Airport
407,NRD,EDWY,Norderney Airport
408,FLF,EDXF,Flensburg-Schäferhaus Airport
409,,EDXR,Rendsburg-Schachtholm Airport
410,GWT,EDXW,Westerland Sylt Airport
411,,EEEI,Ämari Air Base
412,KDL,EEKA,Kärdla Airport
413,URE,EEKE,Kuressaare Airport
414,EPU,EEPU,Pärnu Airport
415,TLL,EETN,Lennart Meri Tallinn Airport
416,TAY,EETU,Tartu Airport
417,ENF,EFET,Enontekio Airport
418,,EFEU,Eura Airport
419,KEV,EFHA,Halli Airport
420,HEM,EFHF,Helsinki Malmi Airport
421,HEL,EFHK,Helsinki Vantaa Airport
422,,EFHM,Hameenkyro Airport
423,,EFHN,Hanko Airport
424,HYV,EFHV,Hyvinkää Airfield
425,,EFIK,Kiikala Airport
426,,EFIM,Immola Airport
427,KTQ,EFIT,Kitee Airport
428,IVL,EFIV,Ivalo Airport
429,JOE,EFJO,Joensuu Airport
430,JYV,EFJY,Jyvaskyla Airport
431,KAU,EFKA,Kauhava Airport
432,KEM,EFKE,Kemi-Tornio Airport
433,KAJ,EFKI,Kajaani Airport
434,KHJ,EFKJ,Kauhajoki Airport
435,KOK,EFKK,Kokkola-Pietarsaari Airport
436,,EFKM,Kemijarvi Airport
437,KAO,EFKS,Kuusamo Airport
438,KTT,EFKT,Kittilä Airport
439,KUO,EFKU,Kuopio Airport
440,QLF,EFLA,Lahti Vesivehmaa Airport
441,LPP,EFLP,Lappeenranta Airport
442,MHQ,EFMA,Mariehamn Airport
443,,EFME,Menkijarvi Airport
444,MIK,EFMI,Mikkeli Airport
445,,EFNU,Nummela Airport
446,OUL,EFOU,Oulu Airport
447,,EFPI,Piikajarvi Airport
448,POR,EFPO,Pori Airport
449,,EFPU,Pudasjärvi Airport
450,,EFPY,Pyhäsalmi Airport
451,,EFRH,Raahe Pattijoki Airport
452,,EFRN,Rantasalmi Airport
453,RVN,EFRO,Rovaniemi Airport
454,,EFRY,Rayskala Airport
455,SVL,EFSA,Savonlinna Airport
456,,EFSE,Selanpaa Airport
457,SOT,EFSO,Sodankyla Airport
458,TMP,EFTP,Tampere-Pirkkala Airport
459,,EFTS,Teisko Airport
460,TKU,EFTU,Turku Airport
461,UTI,EFUT,Utti Air Base
462,VAA,EFVA,Vaasa Airport
463,VRK,EFVR,Varkaus Airport
464,YLI,EFYL,Ylivieska Airfield
465,BFS,EGAA,Belfast International Airport
466,ENK,EGAB,St Angelo Airport
467,BHD,EGAC,George Best Belfast City Airport
468,LDY,EGAE,City of Derry Airport
469,BHX,EGBB,Birmingham International Airport
470,CVT,EGBE,Coventry Airport
471,,EGBG,Leicester Airport
472,GLO,EGBJ,Gloucestershire Airport
474,,EGBO,Wolverhampton Halfpenny Green Airport
475,GBA,EGBP,Cotswold Airport
476,,EGBT,Turweston Airport
